Station,Borough
Abbey Wood,Greenwich
Acton Central,Ealing
Acton Main Line[2],Ealing
Albany Park,Bexley
Alexandra Palace[3],Haringey
Amersham,Chilternout-boundary
Anerley,Bromley
Balham,Wandsworth
Banstead,Reigate and Bansteadout-boundary
Barking,Barking and Dagenham
Barnehurst,Bexley
Barnes,Richmond upon Thames
Barnes Bridge,Richmond upon Thames
Battersea Park[4],Wandsworth
Beckenham Hill,Lewisham
Beckenham Junction,Bromley
Bellingham,Lewisham
Belmont,Sutton
Belvedere,Bexley
Berrylands,Kingston upon Thames
Bethnal Green[5],Tower Hamlets
Bexley,Bexley
Bexleyheath[6],Bexley
Bickley,Bromley
Birkbeck,Bromley
BlackfriarsLondon,City of London
Blackheath,Lewisham
Blackhorse Road,Waltham Forest
Bowes Park,Haringey
Brentford,Hounslow
Brentwood,Brentwoodout-boundary
Brimsdown,Enfield
Brixton,Lambeth
Brockley,Lewisham
Bromley North,Bromley
Bromley South,Bromley
Brondesbury,Brent
Brondesbury Park,Brent
Broxbourne,Broxbourneout-boundary
Bruce Grove,Haringey
Bushey,Watfordout-boundary
Bush Hill Park[7],Enfield
Caledonian Road & Barnsbury,Islington
Cambridge Heath,Tower Hamlets
Camden Road,Camden
Canada Water,Southwark
Cannon StreetLondon,City of London
Canonbury,Islington
Carpenders Park,Three Riversout-boundary
Carshalton,Sutton
Carshalton Beeches[8],Sutton
Castle Bar Park,Ealing
Caterham,Tandridgeout-boundary
Catford,Lewisham
Catford Bridge,Lewisham
Chadwell Heath,Redbridge
Chafford Hundred,Thurrockout-boundary
Chalfont & Latimer,Chilternout-boundary
Charing CrossLondon,Westminster
Charlton,Greenwich
Cheam,Sutton
Chelsfield,Bromley
Cheshunt,Broxbourneout-boundary
Chessington North,Kingston upon Thames
Chessington South,Kingston upon Thames
Chingford,Waltham Forest
Chipstead,Reigate and Bansteadout-boundary
Chislehurst,Bromley
Chiswick[9],Hounslow
Chorleywood,Three Riversout-boundary
City ThameslinkLondon,City of London
Clapham High Street,Lambeth
Clapham Junction,Wandsworth
Clapton,Hackney
Clock House,Bromley
Coulsdon South,Croydon
Coulsdon Town,Croydon
Crayford,Bexley
Crews Hill[10],Enfield
Cricklewood,Barnet
Crofton Park,Lewisham
Crouch Hill,Islington
Crystal Palace,Bromley
Dagenham Dock,Barking and Dagenham
Dalston Junction,Hackney
Dalston Kingsland,Hackney
Dartford,Dartfordout-boundary
Denmark Hill,Southwark
Deptford,Lewisham
Drayton Green[11],Ealing
Drayton Park,Islington
Ealing Broadway,Ealing
Earlsfield[12],Wandsworth
East Croydon[13],Croydon
East Dulwich,Southwark
Eden Park,Bromley
Edmonton Green,Enfield
Elephant & Castle[14],Southwark
Elmers End,Bromley
Elmstead Woods,Bromley
Elstree & Borehamwood[15],Hertsmereout-boundary
Eltham,Greenwich
Emerson Park,Havering
Enfield Chase[10],Enfield
Enfield Lock[16],Enfield
Enfield Town[10],Enfield
Epsom Downs,Epsom and Ewellout-boundary
Erith[17],Bexley
Essex Road,Islington
EustonLondon,Camden
Ewell East,Epsom and Ewellout-boundary
Ewell West,Epsom and Ewellout-boundary
Falconwood,Bexley
Farringdon,Islington
Feltham,Hounslow
Fenchurch StreetLondon,City of London
Finchley Road & Frognal,Camden
Finsbury Park,Islington
Forest Gate[18],Newham
Forest Hill,Lewisham
Fulwell[19],Richmond upon Thames
Gidea Park[20],Havering
Gipsy Hill[12],Lambeth
Goodmayes[21],Redbridge
Gordon Hill[10],Enfield
Gospel Oak,Camden
Grange Park[10],Enfield
Grays,Thurrockout-boundary
Greenford,Ealing
Greenwich,Greenwich
Grove Park,Lewisham
Gunnersbury,Hounslow
Hackbridge[12],Sutton
Hackney Central,Hackney
Hackney Downs[22],Hackney
Hackney Wick,Tower Hamlets
Hadley Wood[23],Enfield
Haggerston,Hackney
Hampstead Heath,Camden
Hampton[12],Richmond upon Thames
Hampton Court,Elmbridgeout-boundary
Hampton Wick,Richmond upon Thames
Hanwell[24],Ealing
Harlesden,Brent
Harold Wood[25],Havering
Harringay[26],Haringey
Harringay Green Lanes[27],Haringey
Harrow & Wealdstone,Harrow
Harrow-on-the-Hill,Harrow
Hatch End[28],Harrow
Haydons Road,Merton
Hayes,Bromley
Hayes & Harlington[29],Hillingdon
Headstone Lane[30],Harrow
